Running tests
Before activation python =  /mnt/storage/software/languages/miniconda/miniconda3.11.3-CompressAI-Vision0.1.3/bin/python
After activation python = /user/home/ib20120/.conda/envs/LL_env/bin/python
Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
1 rank
0 rank
MPI_Vec_LL.py: Size: 200, Steps: 50, T*: 0.500: Order: 0.263, Time: 73.758141 s
MPI_Vec_Jit_LL.py: Size: 200, Steps: 50, T*: 0.500: Order: 0.253, Time: 11.976464 s
#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Tue-07-Nov-2023-at-06-06-46PM
# Size of lattice:     200x200
# Number of MC steps:  50
# Reduced temperature: 0.500
#=====================================================
# Run time (s):        11.976464
   00000    0.500000  -40278.7504  0.2530 
   00001    0.700875  -51253.9625  0.2545 
   00002    0.657925  -59740.2532  0.2552 
   00003    0.634075  -66361.3557  0.2563 
   00004    0.610800  -72342.2459  0.2540 
   00005    0.590300  -77341.3463  0.2538 
   00006    0.578125  -81513.7636  0.2548 
   00007    0.561525  -85215.6035  0.2540 
   00008    0.548650  -88271.9679  0.2528 
   00009    0.545750  -91296.9387  0.2532 
   00010    0.530150  -93906.7614  0.2532 
   00011    0.524200  -96113.9986  0.2533 
   00012    0.514925  -98149.4021  0.2543 
   00013    0.511200 -100023.5451  0.2566 
   00014    0.505675 -101757.8458  0.2559 
   00015    0.505575 -103354.8105  0.2564 
   00016    0.496025 -104751.8139  0.2565 
   00017    0.492875 -105924.2679  0.2579 
   00018    0.488150 -107162.3243  0.2579 
   00019    0.488325 -108112.6944  0.2574 
   00020    0.480875 -109264.4825  0.2582 
   00021    0.478625 -110194.9423  0.2578 
   00022    0.475525 -111041.2425  0.2568 
   00023    0.470775 -111959.6339  0.2568 
   00024    0.469500 -112678.9091  0.2566 
   00025    0.466275 -113546.5136  0.2570 
   00026    0.469100 -114320.0472  0.2570 
   00027    0.464525 -114923.5145  0.2572 
   00028    0.464750 -115508.6753  0.2554 
   00029    0.459375 -116310.7553  0.2564 
   00030    0.458375 -116771.3754  0.2563 
   00031    0.458150 -117166.9954  0.2573 
   00032    0.456325 -117632.9641  0.2567 
   00033    0.458000 -118062.5964  0.2578 
   00034    0.453675 -118437.6245  0.2567 
   00035    0.455600 -119054.8177  0.2558 
   00036    0.453800 -119496.1649  0.2563 
   00037    0.453425 -119989.8381  0.2568 
   00038    0.446325 -120516.7850  0.2575 
   00039    0.450775 -120919.9081  0.2571 
   00040    0.446325 -121173.1879  0.2564 
   00041    0.446950 -121417.8808  0.2556 
   00042    0.450450 -121615.0315  0.2561 
   00043    0.446200 -121549.9831  0.2564 
   00044    0.447100 -122004.9699  0.2569 
   00045    0.442075 -122186.2055  0.2556 
   00046    0.443550 -122527.1763  0.2547 
   00047    0.441450 -122810.2396  0.2553 
   00048    0.444575 -123078.6929  0.2548 
   00049    0.437525 -123420.1067  0.2533 
   00050    0.445250 -123587.6448  0.2523 
